Statistic Label,Month,NACE Group,UNIT,VALUE
Retail Sales Index Volume Adjusted,2021 January,Motor trades (45),Base Year 2021=100,83.5
Retail Sales Index Volume Adjusted,2021 January,"Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)",Base Year 2021=100,102.3
Retail Sales Index Volume Adjusted,2021 January,Department stores (4719),Base Year 2021=100,65.1
Retail Sales Index Volume Adjusted,2021 January,Retail sale of automotive fuel (4730),Base Year 2021=100,77.7
Retail Sales Index Volume Adjusted,2021 January,"Retail sale of hardware, paints and glass (4752)",Base Year 2021=100,89.8
Retail Sales Index Volume Adjusted,2021 January,Retail sale of furniture and lighting (4759),Base Year 2021=100,62
Retail Sales Index Volume Adjusted,2021 January,Bars (5630),Base Year 2021=100,39.7
Retail Sales Index Volume Adjusted,2021 January,All retail businesses,Base Year 2021=100,80
Retail Sales Index Volume Adjusted,2021 January,"Motor trades and automotive fuel (45,4730)",Base Year 2021=100,82.4
Retail Sales Index Volume Adjusted,2021 January,"All retail businesses, excluding motor trades and bars",Base Year 2021=100,82.1
Retail Sales Index Volume Adjusted,2021 January,"All retail businesses, excluding motor trades",Base Year 2021=100,81.8
Retail Sales Index Volume Adjusted,2021 January,"All retail businesses, excluding motor trades, automotive fuel and bars",Base Year 2021=100,82.1
Retail Sales Index Volume Adjusted,2021 January,"Retail sale of food (4711,4721 to 4729)",Base Year 2021=100,105.3
Retail Sales Index Volume Adjusted,2021 January,"Retail sale of non food products, excluding motor trades, automotive fuel and bars",Base Year 2021=100,68.4
Retail Sales Index Volume Adjusted,2021 January,"Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)",Base Year 2021=100,111
Retail Sales Index Volume Adjusted,2021 January,"Retail sale of household equipment (4741 to 4743,4752,4754,4759)",Base Year 2021=100,83.3
Retail Sales Index Volume Adjusted,2021 January,"Retail sale of electrical goods (4741 to 4743,4754)",Base Year 2021=100,98.2
Retail Sales Index Volume Adjusted,2021 January,"Retail sale of textiles, clothing and footwear (4751,4771,4772)",Base Year 2021=100,26
Retail Sales Index Volume Adjusted,2021 January,"Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)",Base Year 2021=100,65.2
Retail Sales Index Volume Adjusted,2021 January,"Other retail sales (4753,4763 to 4765,4776 to 4778)",Base Year 2021=100,65.1
Retail Sales Index Volume Adjusted,2021 January,"Retail sale of books, newspapers and stationery (4761,4762)",Base Year 2021=100,58.3
Retail Sales Index Volume Adjusted,2021 January,"Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)",Base Year 2021=100,82.1
Retail Sales Index Volume Adjusted,2021 February,Motor trades (45),Base Year 2021=100,102.4
Retail Sales Index Volume Adjusted,2021 February,"Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)",Base Year 2021=100,101.3
Retail Sales Index Volume Adjusted,2021 February,Department stores (4719),Base Year 2021=100,83
Retail Sales Index Volume Adjusted,2021 February,Retail sale of automotive fuel (4730),Base Year 2021=100,81.5
